3.132991879880597352e+00 2.682695795279727173e+10 3.132503101363568021e+00 1.753279893861935168e+00 1.108832220087242748e-01
3.115790332462205381e+00 3.727593720314938354e+10 3.114385344284884560e+00 1.670452571929656571e+00 1.244715590030645996e-01
3.038383369079441731e+00 5.179474679231201935e+10 3.033082168593045580e+00 1.593378820474853130e+00 1.188214427990079702e-01
2.892170216023110640e+00 7.196856730011528015e+10 2.878526222393278378e+00 1.504288121939761691e+00 1.190201827415299368e-01
2.685751647002407427e+00 1.000000000000000000e+11 2.659650558016284361e+00 1.420019217601256267e+00 1.199330794642795850e-01
1.766411633886294519e+00 3.000000000000001221e+11 1.712396404779695569e+00 1.196810219569937495e+00 1.195916397410794613e-01
1.036135849860302383e+00 8.427404121577337646e+11 9.875131970685960825e-01 1.009098628882840076e+00 1.198527848608061941e-01
5.813093013616955629e-01 2.367371340945956055e+12 5.465579760658922925e-01 8.426813671122010962e-01 1.200527334172048072e-01
3.191917257307337885e-01 6.650264998664003906e+12 2.998838940232768091e-01 7.110195124189790938e-01 1.199534459670155290e-01
1.741753856659215838e-01 1.868149021977417188e+13 1.629368519904276225e-01 5.951766567982413880e-01 1.201009391959958345e-01
9.483760682720740465e-02 5.247882255844383594e+13 8.857989459426984791e-02 4.994747146136163662e-01 1.201587187596461076e-01
5.132067481732542624e-02 1.474200818415184062e+14 4.793976447726311374e-02 4.201216870974535111e-01 1.199999455122347375e-01
2.764183119236639577e-02 4.141228684381600625e+14 2.585305328792115304e-02 3.541124910517083335e-01 1.201223333456412773e-01
1.474394725814151715e-02 1.163326922771726250e+15 1.373168952857125973e-02 2.973424111918047119e-01 1.199608291022344481e-01
7.755997133259629611e-03 3.267942034569441000e+15 7.242783210901158550e-03 2.533323981093241195e-01 1.198616776695103220e-01
4.263610068321254179e-03 9.180089390402110000e+15 4.002487061690689768e-03 2.190144286728211431e-01 1.201512890335211525e-01
2.387973403802623115e-03 2.578810772170770000e+16 2.210604395409747607e-03 1.861683100699840221e-01 1.199118483945878777e-01
1.349051272620326036e-03 7.244226843386659200e+16 1.213032209900041748e-03 1.577568539040933582e-01 1.197973862845238407e-01
8.134917200287920770e-04 2.035000905253263360e+17 6.541220724023814360e-04 1.230319762430187591e-01 1.200000076850496478e-01
4.464443657364124520e-04 5.716591672114986240e+17 2.872519196521609885e-04 7.744005245739507548e-02 1.200000189978185222e-01
2.151110471950966341e-04 1.605867607298550016e+18 1.278912783007458780e-04 4.746881087009544031e-02 1.200000256118778086e-01
9.822281982312387988e-05 4.511098430818444288e+18 5.753768271587732263e-05 2.927180895050489687e-02 1.200000296217675622e-01
4.452597133978201613e-05 1.267228316957346816e+19 2.650961664388992814e-05 1.803207589805003522e-02 1.200000318874002853e-01
2.037645879601799489e-05 3.559815047101951590e+19 1.216428690342208178e-05 1.083092634013486759e-02 1.200000329076630901e-01
9.383928755891583781e-06 1.000000000000000000e+20 5.672818248023501189e-06 6.498161221754387117e-03 1.200000332927620289e-01
