9.26874e+1  2.09642e-2
9.70554e+1  2.09178e-2
1.01629e+2  2.09228e-2
1.06418e+2  2.08254e-2
1.11434e+2  2.11391e-2
1.16685e+2  2.15631e-2
1.22184e+2  2.16212e-2
1.27942e+2  2.11024e-2
1.33970e+2  1.94188e-2
1.40281e+2  1.68895e-2
1.46888e+2  1.42987e-2
1.53806e+2  1.15259e-2
1.61049e+2  8.97719e-3
1.68632e+2  6.65742e-3
1.76572e+2  4.80568e-3
1.84884e+2  3.36840e-3
1.93588e+2  2.34368e-3
2.02701e+2  1.61874e-3
2.12243e+2  1.11256e-3
2.22234e+2  7.60926e-4
2.32695e+2  5.06576e-4
2.43648e+2  3.33136e-4
2.55115e+2  2.13771e-4
2.67123e+2  1.40581e-4
2.79697e+2  9.52102e-5
2.92864e+2  6.55989e-5
3.06651e+2  4.59796e-5
3.21087e+2  3.20704e-5
3.36203e+2  2.24788e-5
3.52031e+2  1.58333e-5
3.68604e+2  1.11798e-5
3.85957e+2  7.85542e-6
4.04127e+2  5.54669e-6
4.23153e+2  3.92611e-6
4.43074e+2  2.77221e-6
4.63933e+2  1.95745e-6
4.85774e+2  1.38215e-6
5.08644e+2  9.83136e-7
5.32591e+2  6.95893e-7
5.57664e+2  4.91368e-7
5.83918e+2  3.48659e-7
6.11408e+2  2.46187e-7
6.40192e+2  1.74686e-7
6.70331e+2  1.22742e-7
7.01889e+2  8.60323e-8
7.34932e+2  6.03018e-8
7.69531e+2  4.26834e-8
8.05759e+2  2.99912e-8
8.43692e+2  2.10214e-8
8.83411e+2  1.48431e-8
9.24999e+2  1.03530e-8
9.68545e+2  7.22110e-9
1.01414e+3  5.02432e-9
1.06188e+3  3.53896e-9
1.11187e+3  2.42044e-9
1.16421e+3  1.67997e-9
1.21902e+3  1.15749e-9
1.27640e+3  7.93595e-10
1.33649e+3  5.48122e-10
1.39940e+3  3.74883e-10
1.46528e+3  2.58291e-10
1.53426e+3  1.75791e-10
1.60648e+3  1.20231e-10
1.68210e+3  8.18282e-11
1.76128e+3  5.48783e-11
1.84419e+3  3.72583e-11
1.93100e+3  2.51103e-11
2.02190e+3  1.69646e-11
2.11707e+3  1.14053e-11
2.21672e+3  7.46369e-12
2.32106e+3  5.03015e-12
2.43031e+3  3.35698e-12
